timestamp,elapsed_s,status,ch1_voltage_V,ch1_current_A,ch1_power_W
2026-09-18T13:48:06+10:00,0.0,disconnected,,,
2026-09-18T13:48:07+10:00,1.0,reconnected,12.992972,0.496084,6.445606
2026-09-18T13:48:08+10:00,2.0,comms_error,,,
2026-09-18T13:48:09+10:00,3.0,disconnected,,,
2026-09-18T13:48:10+10:00,4.0,reconnected,12.993362,0.502215,6.525461
2026-09-18T13:48:11+10:00,5.0,comms_error,,,
2026-09-18T13:48:12+10:00,6.0,reconnected,12.997197,0.500859,6.509763
2026-09-18T13:48:13+10:00,7.0,ok,13.002881,0.502572,6.534884
2026-09-18T13:48:14+10:00,8.0,ok,12.998674,0.499272,6.489874
2026-09-18T13:48:15+10:00,9.0,ok,12.996560,0.504738,6.559858
2026-09-18T13:48:16+10:00,10.0,ok,13.001687,0.502803,6.537287
